"filename", "language", "Markdown", "HTML", "JSON", "JavaScript", "CSS", "JavaScript React", "SCSS", "XML", "comment", "blank", "total"
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-wobble-horizontal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 37, 0, 1, 10, 48
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-wobble-vertical.scss", "SCSS", 0, 0, 0, 0, 0, 0, 37, 0, 1, 10, 48
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_box-shadow-inset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 1, 3, 17
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_box-shadow-outset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_float-shadow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_glow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_grow-shadow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_shadow-radial.scss", "SCSS", 0, 0, 0, 0, 0, 0, 36, 0, 1, 5, 42
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_shadow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-bottom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 22, 0, 1, 3, 26
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-float-bottom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 1, 4, 31
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-float-left.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 1, 4, 31
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-float-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 1, 4, 31
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-float-top.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 1, 4, 31
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-left.scss", "SCSS", 0, 0, 0, 0, 0, 0, 22, 0, 1, 3, 26
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 22, 0, 1, 3, 26
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-top.scss", "SCSS", 0, 0, 0, 0, 0, 0, 22, 0, 1, 3, 26
